active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.24,1,3.3583333333333334,0.01661203092171086,12.058333333333334,0.025,240.0,2.5,-1,-1,12,0.97,0.94,15,0.2,0.8284770756681378,120,0.83,0.017,10.9,8,6,30,245,0.9,1,540,960,400,True,0.65,0.85,0.94,0.65,0.55,0.6,-0.1466689845391446,20,1,1,3.07,1,0.34,0.52
0.2,1,8.816666666666666,0.021721338068859446,0.0,0.25,240.0,-1.0,8,8,8,0.98,0.93,25,0.11,6.065324040142381,120,0.91,0.039,28.8,8,6,60,245,0.7,0,480,640,600,True,0.73,0.81,0.99,0.82,0.54,0.53,-0.17997266429890352,40,0,2,1.55,0,0.21,0.53
0.1,1,7.633333333333334,0.02716641364412175,53.025,0.13333333333333333,120.0,2.5,-1,8,10,0.94,0.93,30,0.13,6.104832491695371,120,0.78,0.084,30.8,8,6,20,238,-1.0,1,480,1280,256,True,0.56,0.82,0.996,0.71,0.63,0.51,-0.2877751265112725,40,0,3,2.56,0,0.35,0.52
0.19,0,6so lik.533333333333333,0.025923134581082394,93.38333333333334,0.008333333333333333,120.0,2.0,12,12,15,0.96,0.95,30,0.22,0.8360793021149484,120,0.9,0.089,16.6,8,6,30,245,0.7,0,800,1280,600,True,0.74,0.67,0.984,0.61,0.46,0.55,-0.3987550993761254,40,0,4,3.38,1,0.37,0.53
0.22,1,6.891666666666667,0.02134635036604272,83.19166666666666,0.10833333333333334,45.0,2.5,12,12,5,0.95,0.95,20,0.22,5.642389886083284,120,0.78,0.068,30.9,8,6,60,250,0.8,1,720,640,300,True,0.62,0.8,0.959,0.95,0.46,0.49,-0.30876849148364516,20,0,5,1.48,0,0.35,0.56
0.12,0,6.783333333333333,0.02394814545081721,52.35,0.08333333333333333,60.0,2.5,8,-1,15,0.97,0.96,25,0.22,6.184366276679758,120,0.77,0.046,24.4,8,6,60,250,-1.0,1,480,1280,256,True,0.66,0.74,0.976,0.82,0.62,0.61,-0.29620926060792474,30,1,6,1.89,0,0.31,0.54
0.16,1,2.9833333333333334,0.015645446255803105,17.941666666666666,0.15833333333333333,120.0,2.0,-1,-1,10,0.95,0.92,20,0.09,0.8027124124716468,120,0.83,0.096,35.7,8,6,20,245,0.95,0,800,1280,600,True,0.74,0.68,0.953,0.72,0.59,0.48,-0.0009522768720984685,20,0,7,3.15,1,0.23,0.56
0.15,0,0.2916666666666667,0.0004578731126255458,0.0,0.016666666666666666,60.0,2.5,8,-1,8,0.98,0.96,12,0.15,5.92955180900838,120,0.85,0.027,31.0,8,6,30,245,0.95,1,720,1280,256,True,0.54,0.82,0.961,0.81,0.61,0.49,0.0023122698896461047,40,1,8,2.92,0,0.35,0.53
0.23,0,1.7166666666666666,0.0074286380575762844,19.266666666666666,0.025,60.0,2.5,8,8,12,0.96,0.94,25,0.19,0.6940629921564087,120,0.82,0.084,23.6,8,6,60,238,0.95,0,480,960,600,True,0.66,0.63,0.992,0.68,0.51,0.52,-0.07638568097121183,20,1,9,2.67,1,0.36,0.59
0.1,0,2.6,0.008168871365487575,5.958333333333333,0.041666666666666664,240.0,2.5,-1,8,5,0.96,0.93,12,0.18,0.7491800743380215,120,0.9,0.096,14.2,8,6,60,240,0.95,1,720,800,256,True,0.65,0.8,0.948,0.64,0.52,0.51,-0.09020723098392286,30,1,10,1.35,1,0.4,0.57
