active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.19,0,21.366666666666667,0.023065467033949166,0.0,0.058333333333333334,45.0,2.0,-1,12,12,0.97,0.91,15,0.19,3.5450899368602333,120,0.85,0.069,13.4,8,6,30,238,-1.0,1,800,960,600,True,0.5,0.6,0.957,0.63,0.53,0.62,-0.9984672664830255,30,0,1,1.56,1,0.3,0.58
0.18,0,6.508333333333334,0.007854904159903527,0.0,0.03333333333333333,240.0,-1.0,8,12,12,0.99,0.93,25,0.1,3.6322800907917605,120,0.81,0.098,38.8,8,6,20,238,0.95,0,800,640,600,True,0.57,0.8,0.965,0.74,0.52,0.51,-0.28815588125338126,30,1,2,1.93,1,0.25,0.55
0.22,1,17.275,0.008701644051406119,0.0,0.008333333333333333,240.0,-1.0,8,-1,10,0.96,0.93,25,0.15,3.6093375762206468,120,0.87,0.074,37.1,8,6,50,240,0.7,0,720,1280,400,True,0.63,0.64,0.987,0.74,0.61,0.61,-0.8510658446409644,40,0,3,3.27,1,0.3,0.53
0.18,1,0.0,0.0,0.0,0.0,45.0,2.0,-1,12,15,0.95,0.91,12,0.17,7.424220995640843,120,0.85,0.024,24.4,8,6,20,245,0.9,1,480,1280,256,True,0.69,0.87,0.968,0.93,0.48,0.52,0.0,20,1,4,2.7,0,0.39,0.59
0.16,1,19.975,0.009138589766290454,0.0,0.03333333333333333,120.0,2.5,12,-1,15,0.97,0.88,20,0.08,3.494148308930634,120,0.77,0.11,39.2,8,6,50,245,-1.0,0,800,800,256,True,0.53,0.66,0.984,0.88,0.5,0.47,-0.9608473717835211,30,1,5,1.98,1,0.4,0.53
0.2,0,7.166666666666667,0.004858195015953648,0.0,0.025,120.0,-1.0,-1,-1,5,0.95,0.97,25,0.13,3.541096043024041,120,0.92,0.114,13.5,8,6,20,238,0.8,1,800,960,400,True,0.67,0.8,0.962,0.65,0.5,0.51,-0.3309042358253565,20,1,6,2.99,1,0.28,0.53
0.24,1,0.0,0.0,0.0,0.0,60.0,-1.0,12,8,10,0.95,0.94,12,0.17,7.538418050740354,120,0.83,0.096,35.5,8,6,50,240,0.7,1,480,960,256,True,0.59,0.63,0.975,0.78,0.5,0.57,0.0,30,1,7,2.08,0,0.29,0.57
0.1,0,11.133333333333333,0.01969725750386715,0.0,0.041666666666666664,60.0,2.0,12,-1,5,0.98,0.96,25,0.15,3.61279703982286,120,0.77,0.038,20.4,8,6,60,250,0.8,1,540,960,300,True,0.58,0.73,0.938,0.84,0.52,0.51,-0.5051513712480664,30,1,8,1.44,1,0.38,0.51
0.1,0,2.441666666666667,0.0027416081892119516,0.0,0.03333333333333333,240.0,-1.0,8,-1,15,0.97,0.98,30,0.19,3.730096532745344,120,0.83,0.099,8.7,8,6,50,250,0.7,1,480,960,400,True,0.59,0.82,0.935,0.74,0.58,0.52,-0.08737919590539406,20,0,9,1.36,1,0.35,0.57
0.16,1,0.0,0.0,0.0,0.0,45.0,-1.0,-1,-1,15,0.98,0.93,20,0.05,7.881799244508944,120,0.83,0.036,15.2,8,6,30,240,0.95,0,540,960,300,True,0.64,0.69,0.977,0.66,0.58,0.6,0.0,20,1,10,3.24,0,0.22,0.51
0.09,1,13.791666666666666,0.006225100940182095,0.0,0.1,120.0,2.5,8,12,5,0.96,0.91,15,0.08,3.693242714950383,120,0.84,0.029,33.4,8,6,20,250,0.9,1,480,1280,256,True,0.64,0.8,0.995,0.67,0.6,0.58,-0.5864707828632428,30,1,11,2.83,1,0.19,0.59
0.14,1,15.916666666666666,0.014947882708575994,0.0,0.13333333333333333,120.0,-1.0,12,12,15,0.95,0.9,25,0.25,3.625760831956999,120,0.9,0.073,27.5,8,6,20,240,0.9,1,540,1280,600,True,0.57,0.87,0.961,0.74,0.58,0.64,-0.6550260586457123,20,0,12,1.54,1,0.24,0.59
0.16,0,0.0,0.0,0.0,0.0,45.0,2.0,8,-1,12,0.97,0.91,20,0.25,7.383168701494533,120,0.8,0.09,38.5,8,6,30,238,0.95,0,720,640,600,True,0.65,0.79,0.93,0.78,0.62,0.48,0.0,20,0,13,1.36,0,0.33,0.51
0.16,1,0.0,0.0,0.0,0.0,240.0,2.5,-1,-1,12,0.96,0.96,15,0.16,7.346773874186099,120,0.9,0.018,24.6,8,6,50,245,0.9,0,800,1280,400,True,0.51,0.66,0.955,0.87,0.61,0.51,0.0,30,0,14,1.7,0,0.26,0.53
0.13,1,8.725,0.0045023672448264215,0.0,0.05,60.0,-1.0,8,8,12,0.95,0.97,30,0.08,3.5905373939657106,120,0.84,0.02,12.7,8,6,60,240,0.8,1,480,800,256,True,0.63,0.78,0.982,0.78,0.55,0.61,-0.3839988163775868,40,1,15,1.22,1,0.21,0.47
0.15,1,7.541666666666667,0.007301701501839691,0.0,0.03333333333333333,120.0,-1.0,-1,8,5,0.97,0.96,25,0.18,3.5714334725995402,120,0.86,0.083,28.5,8,6,20,250,0.9,1,540,960,256,True,0.71,0.86,0.937,0.8,0.45,0.6,-0.34009914924908,20,0,16,1.51,1,0.39,0.48
